File ID	Sample Type	Tpm_val
81d92351-c619-4585-9281-de33eaaabba4	Primary Tumor	106.6389
2e5071ce-d8cf-46e5-9cc0-91353f0d643c	Primary Tumor	142.7484
d3f1b81f-37ce-47b6-b98d-8530076007c7	Primary Tumor	103.5019
c568fdc8-6942-44ff-a9d9-3f7a03fdc62a	Primary Tumor	119.4611
dd6ec250-8d4d-4129-9664-7451c1760f4b	Primary Tumor	115.1823
9711a58c-08fc-428f-93a1-3d3db7df213e	Primary Tumor	2.2821
3c9960fd-92f3-4bab-9771-933c95edc37f	Primary Tumor	101.981
b080156e-0711-42f5-83c7-a34de25cbba9	Primary Tumor	239.4375
c3e2e99a-537a-4263-a835-fef5ed2c3588	Primary Tumor	94.3439
cb59cd67-2756-45e1-80c7-67ad6d6823d4	Primary Tumor	173.1355
c140ee8e-c45f-47fb-b214-c3c8cdde972e	Primary Tumor	67.3181
38bc7dc7-3a4f-4fd9-ad6d-306dc8a3b7f6	Primary Tumor	484.4716
1a4c524e-8e75-436e-8ccf-cce6ae3d6eb3	Primary Tumor	112.2608
c97d6c2a-9866-4893-8cff-ee747c4a4550	Primary Tumor	236.3001
0869efb9-b167-45af-8b2c-67433e39baad	Primary Tumor	228.4241
97541ffe-94e7-4130-9bac-65528de8d6f5	Primary Tumor	15.8321
bbb426a9-806b-4417-a3cd-4dd1b0c87792	Solid Tissue Normal	149.5629
371fd35f-eb3c-4346-8197-8ecf4c9ce220	Primary Tumor	2.5761
242a2880-95da-453f-892d-fafd49a4865e	Primary Tumor	49.2972
1d8df3eb-b059-47f7-b3fa-f4eb3f568423	Primary Tumor	53.5745
51c0568a-3e54-42a0-b805-0a90905cc865	Primary Tumor	256.4872
ad6ae9d2-c6f5-4686-9b3c-45ea130493f3	Primary Tumor	138.6831
04778fc1-a821-4029-a383-d88e711f3bee	Primary Tumor	0.2141
09f9f414-db5b-4b54-9e8e-234bf9d7c678	Primary Tumor	332.3782
1876b908-e911-464f-be23-2b4eae0a43b6	Primary Tumor	152.8013
f93cc1fb-b3d9-4b1e-94bf-54e40b505b34	Primary Tumor	170.6587
e6e83fd4-2f80-44e1-8dce-588a37308dbb	Solid Tissue Normal	53.1718
8a884668-03c2-44bb-8ea0-5b0d0bc68aa4	Primary Tumor	158.5707
5dd8168d-fe35-4a32-8520-1deaef953b10	Primary Tumor	293.2812
d86a1079-2f10-4c42-9b6a-14498715c4ad	Primary Tumor	71.711
2e2eb2df-d002-49ac-86e7-5ed33e9eabf3	Primary Tumor	202.1176
8d308359-6f2a-4c2a-a2e7-b1a3b8d79de9	Primary Tumor	74.8678
3f474548-c7b2-4d5e-9f8d-03c800a094fe	Solid Tissue Normal	112.2061
9bdba133-a1e0-4482-add2-af6493ebdbe5	Primary Tumor	59.205
b6d704be-2e8f-40cc-9c09-ffde6be5c814	Solid Tissue Normal	128.1423
1a06f92b-21c5-4666-b666-8b9135a4482a	Solid Tissue Normal	166.6746
023a34d9-c000-4053-b695-5b984b4a6fc1	Primary Tumor	135.8207
3cd897bd-893e-4497-b9a5-56141816cff4	Primary Tumor	173.7406
